id_partido,anio,num_partido,fecha,etapa,id_local,local,id_visitante,visitante,goles_local,goles_visitante,tiempo_extra,penales,penales_local,penales_visitante
1,1930,1,13-Jul-1930,Grupo 1,36,Francia,56,México,4,1,NO,NO,,
2,1930,2,15-Jul-1930,Grupo 1,6,Argentina,36,Francia,1,0,NO,NO,,
3,1930,3,16-Jul-1930,Grupo 1,17,Chile,56,México,3,0,NO,NO,,
4,1930,4,19-Jul-1930,Grupo 1,6,Argentina,56,México,6,3,NO,NO,,
5,1930,5,19-Jul-1930,Grupo 1,17,Chile,36,Francia,1,0,NO,NO,,
6,1930,6,22-Jul-1930,Grupo 1,6,Argentina,17,Chile,3,1,NO,NO,,
7,1930,7,14-Jul-1930,Grupo 2,85,Yugoslavia,11,Brasil,2,1,NO,NO,,
8,1930,8,17-Jul-1930,Grupo 2,85,Yugoslavia,9,Bolivia,4,0,NO,NO,,
9,1930,9,20-Jul-1930,Grupo 2,11,Brasil,9,Bolivia,4,0,NO,NO,,
10,1930,10,14-Jul-1930,Grupo 3,68,Rumania,63,Perú,3,1,NO,NO,,
11,1930,11,18-Jul-1930,Grupo 3,80,Uruguay,63,Perú,1,0,NO,NO,,
12,1930,12,21-Jul-1930,Grupo 3,80,Uruguay,68,Rumania,4,0,NO,NO,,
13,1930,13,13-Jul-1930,Grupo 4,35,Estados Unidos,13,Bélgica,3,0,NO,NO,,
14,1930,14,17-Jul-1930,Grupo 4,35,Estados Unidos,62,Paraguay,3,0,NO,NO,,
15,1930,15,20-Jul-1930,Grupo 4,62,Paraguay,13,Bélgica,1,0,NO,NO,,
16,1930,16,13-Jul-1930,"1ra Ronda, Grupo 1",36,Francia,56,México,4,1,NO,NO,,
17,1930,17,13-Jul-1930,"1ra Ronda, Grupo 4",35,Estados Unidos,13,Bélgica,3,0,NO,NO,,
18,1930,18,14-Jul-1930,"1ra Ronda, Grupo 3",68,Rumania,63,Perú,3,1,NO,NO,,
19,1930,19,14-Jul-1930,"1ra Ronda, Grupo 2",85,Yugoslavia,11,Brasil,2,1,NO,NO,,
20,1930,20,15-Jul-1930,"1ra Ronda, Grupo 1",6,Argentina,36,Francia,1,0,NO,NO,,
21,1930,21,16-Jul-1930,"1ra Ronda, Grupo 1",17,Chile,56,México,3,0,NO,NO,,
22,1930,22,17-Jul-1930,"1ra Ronda, Grupo 2",85,Yugoslavia,9,Bolivia,4,0,NO,NO,,
23,1930,23,17-Jul-1930,"1ra Ronda, Grupo 4",35,Estados Unidos,62,Paraguay,3,0,NO,NO,,
24,1930,24,18-Jul-1930,"1ra Ronda, Grupo 3",80,Uruguay,63,Perú,1,0,NO,NO,,
25,1930,25,19-Jul-1930,"1ra Ronda, Grupo 1",6,Argentina,56,México,6,3,NO,NO,,
26,1930,26,19-Jul-1930,"1ra Ronda, Grupo 1",17,Chile,36,Francia,1,0,NO,NO,,
27,1930,27,20-Jul-1930,"1ra Ronda, Grupo 4",62,Paraguay,13,Bélgica,1,0,NO,NO,,
28,1930,28,20-Jul-1930,"1ra Ronda, Grupo 2",11,Brasil,9,Bolivia,4,0,NO,NO,,
29,1930,29,21-Jul-1930,"1ra Ronda, Grupo 3",80,Uruguay,68,Rumania,4,0,NO,NO,,
30,1930,30,22-Jul-1930,"1ra Ronda, Grupo 1",6,Argentina,17,Chile,3,1,NO,NO,,
31,1930,31,26-Jul-1930,Semis,6,Argentina,35,Estados Unidos,6,1,NO,NO,,
32,1930,32,27-Jul-1930,Semis,80,Uruguay,85,Yugoslavia,6,1,NO,NO,,
33,1930,33,30-Jul-1930,Final,6,Argentina,80,Uruguay,2,4,NO,NO,,
34,1930,34,26-Jul-1930,,6,Argentina,35,Estados Unidos,6,1,NO,NO,,
35,1934,1,27-May-1934,Octavos,1,Alemania,13,Bélgica,5,2,NO,NO,,
36,1934,2,27-May-1934,Octavos,73,Suecia,6,Argentina,3,2,NO,NO,,
37,1934,3,27-May-1934,Octavos,51,Italia,35,Estados Unidos,7,1,NO,NO,,
38,1934,4,27-May-1934,Octavos,42,Hungría,28,Egipto,4,2,NO,NO,,
39,1934,5,27-May-1934,Octavos,34,España,11,Brasil,3,1,NO,NO,,
40,1934,6,27-May-1934,Octavos,86,Checoslovaquia,68,Rumania,2,1,NO,NO,,
41,1934,7,27-May-1934,Octavos,74,Suiza,60,Paises Bajos,3,2,NO,NO,,
42,1934,8,27-May-1934,Octavos,8,Austria,36,Francia,3,2,SI,NO,,
43,1934,9,31-May-1934,Cuartos,86,Checoslovaquia,74,Suiza,3,2,NO,NO,,
44,1934,10,31-May-1934,Cuartos,8,Austria,42,Hungría,2,1,NO,NO,,
45,1934,11,31-May-1934,Cuartos,1,Alemania,73,Suecia,2,1,NO,NO,,
46,1934,12,31-May-1934,Cuartos,51,Italia,34,España,1,1,SI,NO,,
47,1934,13,01-Jun-1934,Cuartos,51,Italia,34,España,1,0,NO,NO,,
48,1934,14,03-Jun-1934,Semis,86,Checoslovaquia,1,Alemania,3,1,NO,NO,,
49,1934,15,03-Jun-1934,Semis,51,Italia,8,Austria,1,0,NO,NO,,
50,1934,16,07-Jun-1934,3er Puesto,8,Austria,1,Alemania,2,3,NO,NO,,
51,1934,17,10-Jun-1934,Final,51,Italia,86,Checoslovaquia,2,1,SI,NO,,
52,1934,18,27-May-1934,,1,Alemania,13,Bélgica,5,2,NO,NO,,
53,1938,1,04-Jun-1938,Octavos,74,Suiza,1,Alemania,1,1,SI,NO,,
54,1938,2,05-Jun-1938,Octavos,36,Francia,13,Bélgica,3,1,NO,NO,,
55,1938,3,05-Jun-1938,Octavos,51,Italia,58,Noruega,2,1,SI,NO,,
56,1938,4,05-Jun-1938,Octavos,11,Brasil,64,Polonia,6,5,SI,NO,,
57,1938,5,05-Jun-1938,Octavos,42,Hungría,43,Indias Orientales Holand.,6,0,NO,NO,,
58,1938,6,05-Jun-1938,Octavos,86,Checoslovaquia,60,Paises Bajos,3,0,SI,NO,,
59,1938,7,05-Jun-1938,Octavos,25,Cuba,68,Rumania,3,3,SI,NO,,
60,1938,8,09-Jun-1938,Octavos,74,Suiza,1,Alemania,4,2,NO,NO,,
61,1938,9,09-Jun-1938,Octavos,25,Cuba,68,Rumania,2,1,NO,NO,,
62,1938,10,12-Jun-1938,Cuartos,25,Cuba,73,Suecia,0,8,NO,NO,,
63,1938,11,12-Jun-1938,Cuartos,51,Italia,36,Francia,3,1,NO,NO,,
64,1938,12,12-Jun-1938,Cuartos,42,Hungría,74,Suiza,2,0,NO,NO,,
65,1938,13,12-Jun-1938,Cuartos,11,Brasil,86,Checoslovaquia,1,1,SI,NO,,
66,1938,14,14-Jun-1938,Cuartos,11,Brasil,86,Checoslovaquia,2,1,NO,NO,,
67,1938,15,16-Jun-1938,Semis,42,Hungría,73,Suecia,5,1,NO,NO,,
68,1938,16,16-Jun-1938,Semis,11,Brasil,51,Italia,1,2,NO,NO,,
69,1938,17,19-Jun-1938,3er Puesto,11,Brasil,73,Suecia,4,2,NO,NO,,
70,1938,18,19-Jun-1938,Final,51,Italia,42,Hungría,4,2,NO,NO,,
71,1938,19,04-Jun-1938,,74,Suiza,1,Alemania,1,1,SI,NO,,
72,1950,1,24-Jun-1950,Grupo 1,11,Brasil,56,México,4,0,NO,NO,,
73,1950,2,25-Jun-1950,Grupo 1,85,Yugoslavia,74,Suiza,3,0,NO,NO,,
74,1950,3,28-Jun-1950,Grupo 1,11,Brasil,74,Suiza,2,2,NO,NO,,
75,1950,4,28-Jun-1950,Grupo 1,85,Yugoslavia,56,México,4,1,NO,NO,,
76,1950,5,01-Jul-1950,Grupo 1,11,Brasil,85,Yugoslavia,2,0,NO,NO,,
77,1950,6,02-Jul-1950,Grupo 1,74,Suiza,56,México,2,1,NO,NO,,
78,1950,7,25-Jun-1950,Grupo 2,34,España,35,Estados Unidos,3,1,NO,NO,,
79,1950,8,25-Jun-1950,Grupo 2,44,Inglaterra,17,Chile,2,0,NO,NO,,
80,1950,9,29-Jun-1950,Grupo 2,34,España,17,Chile,2,0,NO,NO,,
81,1950,10,29-Jun-1950,Grupo 2,35,Estados Unidos,44,Inglaterra,1,0,NO,NO,,
82,1950,11,02-Jul-1950,Grupo 2,17,Chile,35,Estados Unidos,5,2,NO,NO,,
83,1950,12,02-Jul-1950,Grupo 2,34,España,44,Inglaterra,1,0,NO,NO,,
84,1950,13,25-Jun-1950,Grupo 3,73,Suecia,51,Italia,3,2,NO,NO,,
85,1950,14,29-Jun-1950,Grupo 3,73,Suecia,62,Paraguay,2,2,NO,NO,,
86,1950,15,02-Jul-1950,Grupo 3,51,Italia,62,Paraguay,2,0,NO,NO,,
87,1950,16,02-Jul-1950,Grupo 4,80,Uruguay,9,Bolivia,8,0,NO,NO,,
88,1950,17,09-Jul-1950,Grupo F,11,Brasil,73,Suecia,7,1,NO,NO,,
89,1950,18,09-Jul-1950,Grupo F,80,Uruguay,34,España,2,2,NO,NO,,
90,1950,19,13-Jul-1950,Grupo F,11,Brasil,34,España,6,1,NO,NO,,
91,1950,20,13-Jul-1950,Grupo F,80,Uruguay,73,Suecia,3,2,NO,NO,,
92,1950,21,16-Jul-1950,Grupo F,73,Suecia,34,España,3,1,NO,NO,,
93,1950,22,16-Jul-1950,Grupo F,80,Uruguay,11,Brasil,2,1,NO,NO,,
94,1950,23,24-Jun-1950,"1ra Ronda, Grupo 1",11,Brasil,56,México,4,0,NO,NO,,
95,1950,24,25-Jun-1950,"1ra Ronda, Grupo 3",73,Suecia,51,Italia,3,2,NO,NO,,
96,1950,25,25-Jun-1950,"1ra Ronda, Grupo 1",85,Yugoslavia,74,Suiza,3,0,NO,NO,,
97,1950,26,25-Jun-1950,"1ra Ronda, Grupo 2",44,Inglaterra,17,Chile,2,0,NO,NO,,
98,1950,27,25-Jun-1950,"1ra Ronda, Grupo 2",34,España,35,Estados Unidos,3,1,NO,NO,,
99,1950,28,28-Jun-1950,"1ra Ronda, Grupo 1",85,Yugoslavia,56,México,4,1,NO,NO,,
100,1950,29,28-Jun-1950,"1ra Ronda, Grupo 1",11,Brasil,74,Suiza,2,2,NO,NO,,
101,1950,30,29-Jun-1950,"1ra Ronda, Grupo 3",73,Suecia,62,Paraguay,2,2,NO,NO,,
102,1950,31,29-Jun-1950,"1ra Ronda, Grupo 2",35,Estados Unidos,44,Inglaterra,1,0,NO,NO,,
103,1950,32,29-Jun-1950,"1ra Ronda, Grupo 2",34,España,17,Chile,2,0,NO,NO,,
104,1950,33,01-Jul-1950,"1ra Ronda, Grupo 1",11,Brasil,85,Yugoslavia,2,0,NO,NO,,
105,1950,34,02-Jul-1950,"1ra Ronda, Grupo 4",80,Uruguay,9,Bolivia,8,0,NO,NO,,
106,1950,35,02-Jul-1950,"1ra Ronda, Grupo 1",74,Suiza,56,México,2,1,NO,NO,,
107,1950,36,02-Jul-1950,"1ra Ronda, Grupo 2",34,España,44,Inglaterra,1,0,NO,NO,,
108,1950,37,02-Jul-1950,"1ra Ronda, Grupo 2",17,Chile,35,Estados Unidos,5,2,NO,NO,,
109,1950,38,02-Jul-1950,"1ra Ronda, Grupo 3",51,Italia,62,Paraguay,2,0,NO,NO,,
